00:00:44.071108 DCon23   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:44.188735 DCon04   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:00:45.801803 DCon03   Saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox" with version "1.19-linux"
00:00:45.822806 DCon03   Finished saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox"
00:00:45.940899 DCon17   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:46.035740 DCon17   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:00:55.073489 DCon19   Saving settings file "/home/zokz/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:55.094175 DCon19   Finished saving settings file "/home/zokz/.config/VirtualBox/VirtualBox.xml"
00:06:34.553970 Watcher  Reaper: Pid 1319 (0x527) exited normally: 1 (0x1)
00:06:39.082500 main     VirtualBox: object deletion starts
00:06:39.083197 main     ERROR [COM]: aRC=VBOX_E_INVALID_OBJECT_STATE (0x80bb0007) aIID={7d510820-a678-4730-a862-818dcd3fbed0} aComponent={MediumWrap} aText={Medium '/home/zokz/VirtualBox VMs/Win/Win.vdi' is locked for writing by another task}, preserve=false aResultDetail=0
00:06:39.087605 main     HostDnsMonitor: shutting down ...
00:06:39.088069 main     HostDnsMonitor: shut down
00:06:39.103645 Watcher  ERROR [COM]: aRC=E_ACCESSDENIED (0x80070005) aIID={d644ad1e-c501-4fc7-9ab6-aa6d763bc540} aComponent={VirtualBoxWrap} aText={The object is not ready}, preserve=false aResultDetail=0
00:06:39.104147 main     VirtualBox: object deleted
